Filename,nvariables,Formula
I.6.2a,1,exp(-theta**2/2)/sqrt(2*pi)
I.6.2,2,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma)
I.6.2b,3,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma)
I.8.14,4,sqrt((x2-x1)**2+(y2-y1)**2)
I.9.18,8,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2)
I.10.7,3,m_0/sqrt(1-v**2/c**2)
I.11.19,6,x1*y1+x2*y2+x3*y3
I.12.1,2,mu*Nn
I.12.2,4,q1*q2*r/(4*pi*epsilon*r**3)
I.12.4,3,q1*r/(4*pi*epsilon*r**3)
I.12.5,2,q2*Ef
I.12.11,5,q*(Ef+B*v*sin(theta))
I.13.4,4,1/2*m*(v**2+u**2+w**2)
I.13.12,4,G*m1*m2*(1/r2-1/r1)
I.14.3,3,m*g*z
I.14.4,2,1/2*k_spring*x**2
I.15.3x,4,(x-u*t)/sqrt(1-u**2/c**2)
I.15.3t,4,(t-u*x/c**2)/sqrt(1-u**2/c**2)
I.15.1,3,m_0*v/sqrt(1-v**2/c**2)
I.16.6,3,(u+v)/(1+u*v/c**2)
I.18.4,4,(m1*r1+m2*r2)/(m1+m2)
I.18.12,3,r*F*sin(theta)
I.18.14,4,m*r*v*sin(theta)
I.24.6,4,1/2*m*(omega**2+omega_0**2)*1/2*x**2
I.25.13,2,q/C
I.26.2,2,arcsin(n*sin(theta2))
I.27.6,3,1/(1/d1+n/d2)
I.29.4,2,omega/c
I.29.16,4,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2))
I.30.3,3,Int_0*sin(n*theta/2)**2/sin(theta/2)**2
I.30.5,3,arcsin(lambd/(n*d))
I.32.5,4,q**2*a**2/(6*pi*epsilon*c**3)
I.32.17,6,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2)
I.34.8,4,q*v*B/p
I.34.1,3,omega_0/(1-v/c)
I.34.14,3,(1+v/c)/sqrt(1-v**2/c**2)*omega_0
I.34.27,2,(h/(2*pi))*omega
I.37.4,3,I1+I2+2*sqrt(I1*I2)*cos(delta)
I.38.12,4,4*pi*epsilon*(h/(2*pi))**2/(m*q**2)
I.39.1,2,3/2*pr*V
I.39.11,3,1/(gamma-1)*pr*V
I.39.22,4,n*kb*T/V
I.40.1,6,n_0*exp(-m*g*x/(kb*T))
I.41.16,5,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1))
I.43.16,4,mu_drift*q*Volt/d
I.43.31,3,mob*kb*T
I.43.43,4,1/(gamma-1)*kb*v/A
I.44.4,5,n*kb*T*ln(V2/V1)
I.47.23,3,sqrt(gamma*pr/rho)
I.48.2,3,m*c**2/sqrt(1-v**2/c**2)
I.50.26,4,x1*(cos(omega*t)+alpha*cos(omega*t)**2)
II.2.42,5,kappa*(T2-T1)*A/d
II.3.24,2,Pwr/(4*pi*r**2)
II.4.23,3,q/(4*pi*epsilon*r)
II.6.11,4,1/(4*pi*epsilon)*p_d*cos(theta)/r**2
II.6.15a,6,p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2)
II.6.15b,4,p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3
II.8.7,3,3/5*q**2/(4*pi*epsilon*d)
II.8.31,2,epsilon*Ef**2/2
II.10.9,3,sigma_den/epsilon*1/(1+chi)
II.11.3,5,q*Ef/(m*(omega_0**2-omega**2))
II.11.17,6,n_0*(1+p_d*Ef*cos(theta)/(kb*T))
II.11.20,5,n_rho*p_d**2*Ef/(3*kb*T)
II.11.27,4,n*alpha/(1-(n*alpha/3))*epsilon*Ef
II.11.28,2,1+n*alpha/(1-(n*alpha/3))
II.13.17,4,1/(4*pi*epsilon*c**2)*2*I/r
II.13.23,3,rho_c_0/sqrt(1-v**2/c**2)
II.13.34,3,rho_c_0*v/sqrt(1-v**2/c**2)
II.15.4,3,#NAME?
II.15.5,3,#NAME?
II.21.32,5,q/(4*pi*epsilon*r*(1-v/c))
II.24.17,3,sqrt(omega**2/c**2-pi**2/d**2)
II.27.16,3,epsilon*c*Ef**2
II.27.18,2,epsilon*Ef**2
II.34.2a,3,q*v/(2*pi*r)
II.34.2,3,q*v*r/2
II.34.11,4,g_*q*B/(2*m)
II.34.29a,3,q*h/(4*pi*m)
II.34.29b,5,g_*mom*B*Jz/(h/(2*pi))
II.35.18,5,n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T)))
II.35.21,5,n_rho*mom*tanh(mom*B/(kb*T))
II.36.38,8,mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M
II.37.1,6,mom*(1+chi)*B
II.38.3,4,Y*A*x/d
II.38.14,2,Y/(2*(1+sigma))
III.4.32,4,1/(exp((h/(2*pi))*omega/(kb*T))-1)
III.4.33,4,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1)
III.7.38,3,2*mom*B/(h/(2*pi))
III.8.54,3,sin(E_n*t/(h/(2*pi)))**2
III.9.52,6,(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2
III.10.19,3,mom*sqrt(Bx**2+By**2+Bz**2)
III.12.43,2,n*(h/(2*pi))
III.13.18,4,2*E_n*d**2*k/(h/(2*pi))
III.14.14,5,I_0*(exp(q*Volt/(kb*T))-1)
III.15.12,3,2*U*(1-cos(k*d))
III.15.14,3,(h/(2*pi))**2/(2*E_n*d**2)
III.15.27,3,2*pi*alpha/(n*d)
III.17.37,3,beta*(1+alpha*cos(theta))
III.19.51,4,-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2)
III.21.20,4,#NAME?
